tract_id,latitude,longitude,land_surface_temp_f,tree_canopy_pct,pct_impervious_surface,median_household_income,pct_minority,pct_poverty,population_density,distance_to_park_miles
T0175,30.14197,-97.69983,84.9,33.0,55.8,58552,88.6,24.4,2566,1.63
T0176,30.22507,-97.7196,83.7,50.2,39.8,110259,72.3,18.3,1978,1.57
T0177,30.19031,-97.82896,90.1,31.9,42.2,58221,40.2,25.0,6123,1.88
T0178,30.31957,-97.86984,87.9,30.3,47.2,51360,87.5,21.0,5650,1.81
T0179,30.34425,-97.80696,89.2,27.5,35.3,61613,54.4,32.2,1298,2.02
T0180,30.33451,-97.70481,83.4,35.0,31.4,97509,70.5,18.5,2858,1.67
T0181,30.18958,-97.69479,85.9,23.3,43.4,59798,74.3,12.5,2169,1.67
T0182,30.03084,-97.85944,94.4,13.9,60.7,45030,89.3,18.6,7912,2.05
T0183,30.10864,-97.82849,80.7,39.3,36.3,89128,54.1,9.6,1620,1.72
T0184,30.36373,-97.80786,88.9,29.9,51.5,65706,83.6,21.2,9533,1.73
T0185,30.2179,-97.77858,86.6,41.4,33.0,108130,29.9,15.4,3569,1.34
T0186,30.18994,-97.85896,88.6,10.5,49.9,58833,77.4,19.6,1813,1.82
T0187,30.38141,-97.86376,90.1,11.8,52.7,31225,60.9,35.3,2425,2.74
T0188,30.35121,-97.81575,88.9,25.4,61.2,29270,57.3,28.2,2251,2.5
T0189,30.25196,-97.7431,83.2,41.9,31.8,113882,38.3,19.0,1695,1.66
T0190,30.22653,-97.84445,79.8,49.2,22.7,117671,84.4,10.2,3854,1.37
T0191,30.23943,-97.75926,92.9,17.0,38.7,49972,62.9,18.0,1743,2.25
T0192,30.26817,-97.66532,89.5,32.6,46.5,45596,57.8,23.7,984,2.36
T0193,30.378,-97.85414,84.0,42.0,28.1,104574,48.8,17.3,2899,1.37
T0194,30.2838,-97.76652,91.6,21.6,56.7,32920,7.7,15.8,1234,2.79
T0195,30.30808,-97.66802,88.2,34.9,49.0,36220,77.2,23.7,2319,2.84
T0196,30.34354,-97.78346,86.1,41.6,64.0,72366,24.6,20.4,2110,1.63
T0197,30.15643,-97.79589,90.4,22.0,36.9,45362,80.5,22.5,2159,1.85
T0198,30.31039,-97.65692,88.5,23.1,50.5,54052,76.0,18.4,12095,1.65
T0199,30.22643,-97.7745,90.7,23.5,40.7,50335,59.9,20.3,3766,2.3
T0200,30.04871,-97.66164,89.8,32.6,43.0,63064,22.4,20.5,4218,1.87
T0201,30.07975,-97.71568,85.0,41.4,39.8,102065,19.3,17.2,1254,1.87
T0202,30.16855,-97.77743,86.5,25.0,29.8,56430,55.3,25.2,2459,2.05
T0203,30.2925,-97.71162,86.7,41.3,46.9,72386,54.2,25.7,4143,2.08
T0204,30.2591,-97.72436,88.4,15.5,71.1,21535,12.7,24.9,1969,2.05
T0205,30.26475,-97.66833,86.7,40.1,45.5,53002,50.7,20.3,6278,1.75
T0206,30.40608,-97.79387,90.8,21.7,54.6,37069,15.6,26.7,1769,1.95
T0207,30.14847,-97.7467,90.2,30.1,62.0,31305,33.7,28.3,3066,1.81
T0208,30.24781,-97.75492,91.9,23.2,51.3,36491,55.8,22.4,2562,3.41
T0209,30.27435,-97.69367,88.0,30.0,45.8,46613,14.1,27.3,4018,1.89
T0210,30.1911,-97.83201,82.3,31.2,24.7,81810,25.7,24.1,2479,1.61
T0211,30.25227,-97.66864,93.2,13.8,59.2,29826,39.8,31.9,3095,1.93
T0212,30.122,-97.71269,88.6,29.7,47.8,54928,59.7,31.3,3160,1.81
T0213,30.36279,-97.85535,88.0,29.2,43.0,43570,47.0,19.4,2343,1.96
T0214,30.19547,-97.65334,90.6,24.6,51.5,46749,21.8,23.4,4871,1.95
T0215,30.41251,-97.57127,89.5,28.9,37.6,85071,49.4,18.8,4201,1.6
T0216,30.2474,-97.66985,86.6,23.3,41.5,69020,58.8,20.2,3452,1.83
T0217,30.33224,-97.63584,87.6,32.5,44.1,98897,29.2,13.9,2812,3.02
T0218,30.24574,-97.74317,93.5,14.9,38.9,50538,50.7,15.5,5872,1.69
T0219,30.24754,-97.88292,87.9,22.7,60.4,39610,90.6,24.7,3161,1.79
T0220,30.20328,-97.89753,87.1,31.8,38.8,48985,24.5,19.3,3029,3.09
T0221,30.25953,-97.72959,86.6,28.6,42.2,60423,69.7,22.2,3877,2.28
T0222,30.27544,-97.79736,93.6,14.6,63.3,58657,94.0,18.0,10076,2.96
T0223,30.18726,-97.82317,90.7,18.8,62.4,33257,28.0,19.5,1629,2.23
T0224,30.24,-97.75502,89.2,26.4,49.2,56428,26.5,23.4,5779,2.44
T0225,30.20119,-97.70075,88.7,41.2,40.1,60036,75.7,22.5,1169,1.63
T0226,30.43397,-97.86622,78.0,54.6,20.2,168192,29.3,11.7,4148,1.81
T0227,30.24282,-97.78591,80.5,47.4,34.1,126068,25.5,24.8,9368,1.57
T0228,30.37362,-97.62921,86.0,31.4,52.9,36903,32.6,25.9,4881,2.58
T0229,30.23435,-97.83602,93.1,27.3,49.6,47604,80.9,25.7,4033,2.04
T0230,30.27074,-97.68042,90.0,21.7,54.2,28042,24.2,20.2,2601,1.76
T0231,30.14429,-97.78878,90.1,23.3,49.9,41530,15.3,17.6,3709,1.84
T0232,30.21423,-97.70634,85.5,31.3,35.6,62444,42.8,29.4,3130,1.67
T0233,30.26684,-97.66221,81.5,43.9,36.4,93212,85.5,13.2,2272,1.97
T0234,30.37688,-97.6907,92.3,17.0,59.4,39023,59.4,19.1,3060,2.15
T0235,30.26776,-97.67727,93.4,27.5,40.9,40362,54.1,24.0,4101,1.84
T0236,30.3607,-97.84213,97.2,7.7,54.5,20614,88.6,26.1,2298,2.02
T0237,30.30126,-97.66091,86.3,27.4,43.1,50352,36.5,18.4,2244,1.74
T0238,30.38019,-97.81822,92.5,21.2,54.2,33588,62.1,23.4,1610,1.82
T0239,30.24528,-97.72924,89.0,19.3,48.2,42691,27.0,30.0,4603,1.73
T0240,30.44122,-97.72934,88.9,20.9,64.5,36513,55.1,20.6,5050,2.02
T0241,30.21117,-97.71119,93.2,22.2,53.4,51926,78.4,15.8,4184,1.76
T0242,30.18868,-97.72304,95.0,10.8,44.7,24564,50.5,30.8,6497,2.03
T0243,30.1532,-97.8175,95.4,16.2,59.8,27996,54.3,28.1,3838,2.1
T0244,30.43648,-97.85799,80.1,48.0,24.0,141232,29.0,8.9,4606,1.51
T0245,30.31556,-97.68021,90.3,21.0,49.4,30353,25.1,17.4,4369,1.85
T0246,30.22327,-97.73513,94.9,13.0,55.9,33072,25.0,21.3,3446,1.88
T0247,30.34992,-97.65805,81.5,53.3,30.0,123823,87.1,13.9,2648,1.25
T0248,30.30502,-97.75358,78.0,65.0,24.7,200242,37.9,10.8,13746,1.06
T0249,30.40729,-97.86241,87.7,16.2,47.4,31978,41.6,20.0,2776,2.3
